generations: 1000
Best solution:
110111010010100101011100111000110001101011001101111010111010000101111110001011010000100100001101001101110010100101101010100011101001001001000010010000111110 -30901853.585063536
-30901853.585063536
Average: -8057105.812333	Std Deviation: 465720.669289
Median: -8250361.854640	Std Deviation: 504304.240110
Generation #0:	-3949497.674480
Generation #1:	-30901853.585064
Generation #2:	-888775.926135
Generation #3:	-2241930.403087
Generation #4:	-1327464.893339
Generation #5:	-1313613.204448
Generation #6:	-1060642.302777
Generation #7:	-1253790.457515
Generation #8:	-798955.114890
Generation #9:	-750701.571908
Generation #10:	-2237854.662856
Generation #11:	-978455.248921
Generation #12:	-2230571.221905
Generation #13:	-3334272.637962
Generation #14:	-5335324.820031
Generation #15:	-5324466.804726
Generation #16:	-457598.743529
Generation #17:	-1816639.535256
Generation #18:	-1130424.320191
Generation #19:	-1123106.760194
Generation #20:	-1721200.315100
Generation #21:	-561346.029557
Generation #22:	-594792.800396
Generation #23:	-2996343.592963
Generation #24:	-2473750.525439
Generation #25:	-2760755.465724
Generation #26:	-364201.768123
Generation #27:	-479966.705410
Generation #28:	-1220490.343677
Generation #29:	-8252452.370028
