generations: 1000
Best solution:
100001111010111000110101110101101011110010111001111011110000100001100010010101111110111110001001101100010001110100100101100100011001100011011110001100100111 -18838488.079026256
-18838488.079026256
Average: -2652299.525557	Std Deviation: 3608317.779750
Generation #204:	-18836589.142270
Generation #205:	-18836589.142270
Generation #206:	-18836589.142270
Generation #207:	-18836589.142270
Generation #208:	-18836589.142270
Generation #209:	-18836589.142270
Generation #210:	-18836589.142270
Generation #211:	-18836589.142270
Generation #212:	-18836589.142270
Generation #213:	-18836589.142270
Generation #214:	-18836589.142270
Generation #215:	-18836589.142270
Generation #216:	-18836589.142270
Generation #217:	-18836589.142270
Generation #218:	-18836589.142270
Generation #219:	-18836589.142270
Generation #220:	-18836589.142270
Generation #221:	-18836589.142270
Generation #222:	-18836589.142270
Generation #223:	-18836589.142270
Generation #224:	-18836589.142270
Generation #225:	-18836589.142270
Generation #226:	-18836589.142270
Generation #227:	-18836589.142270
Generation #228:	-18836589.142270
Generation #229:	-18836589.142270
Generation #230:	-18836589.142270
Generation #231:	-18836589.142270
Generation #232:	-18836589.142270
Generation #233:	-18836589.142270
Generation #234:	-18836589.142270
Generation #235:	-18836589.142270
Generation #236:	-18836589.142270
Generation #237:	-18836589.142270
Generation #238:	-18836589.142270
Generation #239:	-18836589.142270
Generation #240:	-18836589.142270
Generation #241:	-18836589.142270
Generation #242:	-18836589.142270
Generation #243:	-18836589.142270
Generation #244:	-18836589.142270
Generation #245:	-18836589.142270
Generation #246:	-18836589.142270
Generation #247:	-18836589.142270
Generation #248:	-18836589.142270
Generation #249:	-18836589.142270
Generation #250:	-18836589.142270
Generation #251:	-18836589.142270
Generation #252:	-18836589.142270
Generation #253:	-18836604.708004
Generation #254:	-18836604.708004
Generation #255:	-18836604.708004
Generation #256:	-18836604.708004
Generation #257:	-18836604.708004
Generation #258:	-18836797.581865
Generation #259:	-18836797.581865
Generation #260:	-18836797.581865
Generation #261:	-18836797.581865
Generation #262:	-18836797.581865
Generation #263:	-18836797.581865
Generation #264:	-18836797.581865
Generation #265:	-18836797.581865
Generation #266:	-18836797.581865
Generation #267:	-18836797.581865
Generation #268:	-18836797.581865
Generation #269:	-18836797.581865
Generation #270:	-18836797.581865
Generation #271:	-18836797.581865
Generation #272:	-18836797.581865
Generation #273:	-18836797.581865
Generation #274:	-18836797.581865
Generation #275:	-18836797.581865
Generation #276:	-18836797.581865
Generation #277:	-18836992.838118
Generation #278:	-18836992.838118
Generation #279:	-18836992.838118
Generation #280:	-18836992.838118
Generation #281:	-18836992.838118
Generation #282:	-18836992.838118
Generation #283:	-18836992.838118
Generation #284:	-18836992.838118
Generation #285:	-18836992.838118
Generation #286:	-18836992.838118
Generation #287:	-18837082.070524
